card_title,card_reviews,card_link,card_image,card_status,card_limit,card_score,card_annual_income,card_applied_from,card_bureau,card_age,card_notes,card_author_name,card_meta_date,card_dislike,card_like
Bilt Mastercard,16,https://helpmebuildcredit.com/creditcard/bilt-mastercard/,https://helpmebuildcredit.com/wp-content/uploads/2022/03/bilt.png,publish,"$3,000",745,N/A,orth Carolina,Experian,N/A,NaN,User_xkhs9yfq,"Jun 18, 2023",0,0
NaN,84,#,h,decline,N/A,790,N/A,Texas,N/A,10 years plus,NaN,User_yqza3x5l,"Jun 18, 2023",0,0
NaN,83,#,h,decline,N/A,765,N/A,New Jersey,TransUnion,2-5 years,NOT SURE WHY TRANSUNION WAS PULLED. ,User_wn71ys8p,"Jun 18, 2023",0,0
World Of Hyatt Business,330,https://helpmebuildcredit.com/creditcard/world-of-hyatt-business-card/,https://helpmebuildcredit.com/wp-content/uploads/2021/10/a3203c4b-cd68-4b4e-81b0-2c279a9aa5f9.png,publish,"$6,000",750,N/A,New York,Experian,2-5 years,"Was evn approved minutes after applying for the citi AA Platinum which put me at 5/24. So not a 5/24 approval dp, but just a reminder that your 5th personal account won't post to bureaus right away.",User_aknqyj4c,"Jun 16, 2023",0,1
Citi AAdvantage Platinum,330,https://helpmebuildcredit.com/creditcard/citi-aadvantage-platinum-select-world-elite-mastercard/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/Citi-AAdvantage-Platinum-Select-World-Elite-Mastercard.png,publish,"$11,000",750,N/A,New York,Equifax,2-5 years,Applied from Monsey Haverstraw area and still pulled Equifax. ,User_aknqyj4c,"Jun 16, 2023",0,1
Capital One Venture X,414,https://helpmebuildcredit.com/creditcard/capital-one-venture-x-card/,https://helpmebuildcredit.com/wp-content/uploads/2021/11/capital-one-venture-x.png,publish,"$15,000",734,N/A,New York,N/A,2-5 years,NaN,User_n6zgp2e7,"Jun 15, 2023",0,0
X1 Visa Card,469,https://helpmebuildcredit.com/creditcard/x1-visa-card/,https://helpmebuildcredit.com/wp-content/uploads/2022/11/x1-card.png,publish,"$3,000",703,N/A,Texas,None,1-2 years,NaN,User_q4r1hctv,"Jun 15, 2023",0,0
Ink Business Premier,480,https://helpmebuildcredit.com/creditcard/ink-business-premier-credit-card/,https://helpmebuildcredit.com/wp-content/uploads/2022/10/ink-business-premier-1.png,publish,"$115,000",825,N/A,New Jersey,N/A,10 years plus,NaN,User_l89ug50a,"Jun 15, 2023",0,0
Amazon Prime,481,https://helpmebuildcredit.com/creditcard/amazon-prime-rewards-visa-signature-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/05/amazon-prime-rewards-visa-signature.png,publish,"$2,500",691,N/A,Pennsylvania,Experian,1-2 years,Was at 8/24 or 9/24 and was still approved by Chase.,User_nrs8ia9y,"Jun 15, 2023",0,0
Divvy Business,564,https://helpmebuildcredit.com/creditcard/divvy-business-credit-cardthere-is-no-welcome-offer-on-this-card/,https://helpmebuildcredit.com/wp-content/uploads/2021/12/divvy-business-2.png,decline,N/A,770,N/A,New Jersey,None,1-2 years,NaN,User_03es2p6g,"Jun 14, 2023",1,0
